Artist,yt_id,upload_year,lowlevel.spectral_centroid.dmean,lowlevel.spectral_centroid.dmean2,lowlevel.spectral_contrast_coeffs.dvar.5,tonal.hpcp.dvar2.18,lowlevel.spectral_contrast_coeffs.dvar2.5,tonal.hpcp.dvar2.17,lowlevel.spectral_contrast_coeffs.dvar2.3,lowlevel.barkbands_spread.dvar2,tonal.hpcp.median.19,tonal.hpcp.var.30,lowlevel.spectral_contrast_coeffs.dmean.5,tonal.hpcp.dvar2.7,tonal.hpcp.median.1,lowlevel.spectral_contrast_valleys.dvar2.1,lowlevel.spectral_contrast_coeffs.dmean2.5,lowlevel.erbbands.median.4,tonal.hpcp.median.18,lowlevel.spectral_contrast_coeffs.dmean2.3,tonal.hpcp.var.1,tonal.hpcp.dvar.18,tonal.hpcp.dvar2.12,tonal.hpcp.dvar2.28,tonal.hpcp.median.13,lowlevel.spectral_contrast_coeffs.dvar2.4,lowlevel.melbands.var.13,lowlevel.erbbands.median.2,lowlevel.melbands.var.25,tonal.hpcp.dvar2.10,lowlevel.erbbands_flatness_db.dvar,tonal.hpcp.dvar2.23,tonal.hpcp.median.9,tonal.hpcp.dvar2.13,lowlevel.gfcc.icov.5.5,lowlevel.gfcc.cov.8.8,tonal.hpcp.median.34,tonal.hpcp.median.10,tonal.hpcp.dvar2.33,lowlevel.spectral_centroid.dvar,lowlevel.spectral_contrast_coeffs.dmean2.2,lowlevel.melbands.var.27,lowlevel.melbands.var.19,lowlevel.spectral_contrast_coeffs.dmean.1,lowlevel.spectral_contrast_coeffs.dmean2.4,lowlevel.barkbands_skewness.var,lowlevel.spectral_spread.dmean2,tonal.hpcp.dvar2.8,tonal.hpcp.median.27,tonal.hpcp.dvar2.9,lowlevel.spectral_contrast_coeffs.median.3,lowlevel.barkbands.var.15,tonal.hpcp.dvar2.35,tonal.hpcp.var.27,lowlevel.erbbands_spread.dvar2,tonal.hpcp.median.0,lowlevel.barkbands_kurtosis.median,lowlevel.barkbands.var.13,tonal.hpcp.dvar2.26,tonal.hpcp.median.31,lowlevel.barkbands.var.6,tonal.hpcp.var.3,lowlevel.silence_rate_60dB.var,lowlevel.spectral_centroid.dvar2,tonal.hpcp.var.10,lowlevel.erbbands_flatness_db.dvar2,lowlevel.melbands.var.31,tonal.hpcp.median.3,lowlevel.barkbands.median.10,tonal.hpcp.var.33,lowlevel.pitch_salience.dvar2,lowlevel.melbands.median.1,tonal.hpcp.dvar2.6,tonal.hpcp.var.9,tonal.hpcp.median.12,lowlevel.mfcc.cov.0.0,lowlevel.erbbands.var.6,tonal.hpcp.var.6,lowlevel.erbbands.median.0,tonal.hpcp.dvar.25,tonal.hpcp.dvar2.0,lowlevel.mfcc.cov.3.3,tonal.hpcp.var.0,lowlevel.erbbands.max.7,tonal.hpcp.var.7,lowlevel.gfcc.cov.6.6,tonal.hpcp.dvar2.21,tonal.hpcp.median.15,lowlevel.spectral_contrast_coeffs.dmean.4,lowlevel.melbands.var.20,lowlevel.melbands_kurtosis.median,lowlevel.spectral_contrast_coeffs.median.1,lowlevel.spectral_contrast_valleys.dvar2.2,lowlevel.barkbands.var.18,tonal.hpcp.dvar.23,lowlevel.gfcc.mean.10,lowlevel.spectral_contrast_coeffs.dmean2.1,tonal.hpcp.median.30,tonal.hpcp.var.12
Artifyber,3Xj58zLOrGY,2024,511.985534668,749.210205078,0.000293030781904,0.1399423033,0.000740752730053,0.163538441062,0.00225646467879,440.270690918,0.0296180583537,0.0464566275477,0.0195853952318,0.169245392084,0.250982642174,0.863332271576,0.0318894088268,2.49723148346,0.0398539230227,0.0585342571139,0.124724216759,0.0508908741176,0.111396700144,0.112853974104,0.0852759703994,0.00110932718962,1.1446335435E-08,0.95531219244,8.94728346967E-10,0.151429533958,0.000404864142183,0.107580050826,0.0503866523504,0.128644958138,0.00806816946715,116.499725342,0.0435673817992,0.0424734987319,0.107974410057,255474.53125,0.0782667025924,3.6457908914E-10,6.0024798465E-09,0.0519853010774,0.0414235591888,7.13309383392,1620101,0.135785028338,0.103571519256,0.137193799019,-0.789037406445,7.54449843043E-07,0.174393609166,0.0505535267293,563.140258789,0.284788906574,-0.888771295547,1.89553043128E-06,0.0881257355213,0.0270266793668,1.30461637582E-06,0.0324235707521,0.028820740059,498603.6875,0.0446190908551,0.000866585585754,1.70014780032E-10,0.0375231541693,0.00015876883117,0.0331509746611,0.0256769638509,0.000756728171837,0.157213181257,0.04263599962,0.083183683455,8973.54980469,352.447692871,0.0625473186374,0.140363514423,0.0401856303215,0.175681352615,291.227508545,0.10678652674,124.378463745,0.0825531184673,189.047271729,0.100255645812,0.135824799538,0.025681450963,7.38888195073E-09,4.81360149384,-0.781499922276,0.809442877769,5.27693885033E-07,0.0429394766688,-17.5444107056,0.0871893763542,0.036057472229,0.0451926328242
Artifyber,4u8Anqhk4hc,2022,293.388275146,440.50112915,0.000494463718496,0.0604569874704,0.00092760543339,0.100961618125,0.0019678925164,118.466171265,0.0183552354574,0.0816257297993,0.02327545546,0.0823165327311,0.151443466544,0.621431410313,0.0347607173026,0.783779501915,0.0188551992178,0.0519895739853,0.0671820789576,0.0203465279192,0.113156355917,0.0641265809536,0.0307316668332,0.00127396872267,7.13793184559E-08,0.146380871534,5.72623837236E-10,0.0928337201476,0.000783785420936,0.123687468469,0.17135643959,0.136354967952,0.00930505711585,189.966583252,0.0260051582009,0.101989030838,0.100220754743,120725.03125,0.0667905509472,1.8275859992E-10,8.95602969564E-09,0.0487630814314,0.0413107536733,6.98682880402,844192.5,0.094478905201,0.0296471547335,0.131226301193,-0.790709137917,1.13023747872E-06,0.122218564153,0.0223362576216,287.905883789,0.244185745716,0.04021692276,7.23576647488E-07,0.0794426128268,0.0574521422386,6.11730501987E-06,0.0814050585032,0.11537104845,217542.53125,0.0458008870482,0.00156367674936,4.07601036256E-11,0.0332552343607,0.000360780861229,0.0245127361268,0.0172369871289,0.0000983133213595,0.103372402489,0.128712981939,0.0299671534449,10373.453125,421.003265381,0.029608938843,0.00161748321261,0.0268069002777,0.153752163053,709.387451172,0.143505111337,302.675598145,0.0209859516472,310.470153809,0.0746576339006,0.11595274508,0.0265224575996,3.01561020599E-09,3.2311167717,-0.752257347107,0.887898385525,3.49688434653E-07,0.0458771213889,-18.1208362579,0.0801022872329,0.0606140084565,0.0273973289877
Artifyber,5ZUuvC9fQN8,2024,351.120880127,568.934692383,0.000608434667811,0.0577650256455,0.00116390513722,0.070358902216,0.00134032336064,355.358764648,0.00920222699642,0.0566141121089,0.0209072921425,0.0894447788596,0.039047151804,0.480786561966,0.0316179059446,1.54340398312,0.0125216245651,0.0467635057867,0.0760549530387,0.0206397362053,0.075009778142,0.0433757901192,0.0133073944598,0.000762289855629,4.14456664544E-08,2.03739309311,5.28006027789E-10,0.136907443404,0.000252591067692,0.0996204391122,0.0841841846704,0.0804378464818,0.0104777598754,146.639755249,0.0173317566514,0.103595130146,0.220383256674,152322.9375,0.0600934028625,3.38748529227E-10,1.35479512053E-08,0.0447329133749,0.0351204052567,2.46470808983,1063795.125,0.102798186243,0.0150965247303,0.116775847971,-0.790055751801,1.43458453294E-06,0.18083588779,0.0136419991031,457.453460693,0.0370357483625,0.840543985367,3.00938063447E-06,0.0746385380626,0.125252142549,7.88841134636E-07,0.0211059972644,0.0420040041208,424373.21875,0.120557457209,0.000473085819976,1.23572652111E-10,0.0175961479545,0.000294745608699,0.059555798769,0.0238818265498,0.00188400107436,0.0981659963727,0.0781747698784,0.0142393903807,9308.6015625,61.9298858643,0.0279876384884,0.561733603477,0.0464083813131,0.166037455201,489.996826172,0.0706143602729,80.0064620972,0.0276841726154,226.539138794,0.0672359988093,0.035871244967,0.0212950110435,5.61200064197E-09,11.6030044556,-0.762328267097,0.468748807907,4.13075099459E-07,0.0450660400093,-12.5826969147,0.0749313309789,0.0815267264843,0.0179122295231
Artifyber,87PE4F3a0P0,2024,500.47177124,769.937683105,0.000252811500104,0.095380961895,0.000640555168502,0.130662739277,0.00230333092622,482.2421875,0.00904300063848,0.0186438132077,0.0175190549344,0.079615354538,0.0757407993078,1.67397654057,0.0289289839566,1.04381275177,0.0143891442567,0.053005002439,0.0830063670874,0.0339721441269,0.0863458663225,0.0405291207135,0.0168566051871,0.00109577435069,2.6574694445E-08,1.80196487904,6.23874563122E-10,0.111410520971,0.000358705234248,0.121000997722,0.0204842854291,0.0802657902241,0.00875413790345,113.003692627,0.0109671214595,0.0162521377206,0.0685253739357,277472.9375,0.071418017149,6.07438432887E-10,1.82537884807E-09,0.047066308558,0.0368030294776,14.1109380722,1386772.625,0.107011832297,0.018262732774,0.126731306314,-0.829532563686,3.1320769267E-07,0.0849862024188,0.0159359965473,892.65802002,0.0710427835584,7.41975212097,5.98269537022E-07,0.0788124576211,0.0127996848896,3.18705497193E-06,0.0329294577241,0.102389357984,588733.125,0.0249168649316,0.000787081604358,1.06980466152E-10,0.0155783202499,0.0000925819695112,0.0192622803152,0.0417968668044,0.00160169391893,0.0826346501708,0.0294940639287,0.0141205331311,17473.5976562,209.87550354,0.019011259079,1.08964514732,0.04492533952,0.109745681286,404.078765869,0.0598467998207,138.930435181,0.0164990648627,187.06388855,0.0616604238749,0.0665342956781,0.0224559325725,1.09426878669E-09,31.4679450989,-0.796900331974,1.88888847828,4.47339374432E-07,0.0508952625096,-11.6381835938,0.0799803212285,0.0114565361291,0.0178731698543
Artifyber,8EGmZlGJWkg,2023,347.107727051,530.285461426,0.000527314958163,0.0648607760668,0.00106778042391,0.068894430995,0.00230493978597,285.543945312,0.0117988735437,0.0930504277349,0.0233266670257,0.0625520274043,0.0501991286874,0.562961935997,0.035053268075,0.669247984886,0.0153697924688,0.0566297583282,0.103900827467,0.0242703314871,0.0396738648415,0.0278738196939,0.0120187196881,0.00121162924916,3.37881971291E-08,0.110883660614,1.00264863079E-09,0.118642747402,0.000389232853195,0.0550165362656,0.149700820446,0.05052883178,0.00854321569204,408.328033447,0.0159928258508,0.188359066844,0.0852195546031,213285.375,0.0718250125647,9.30598431648E-10,1.422576279E-08,0.0472208149731,0.040852829814,7.69233036041,1242682.375,0.0471053831279,0.0122813852504,0.0944063067436,-0.766292273998,1.70171972513E-06,0.0718580707908,0.00741984695196,434.021392822,0.0417634397745,-0.327557325363,2.59985245066E-06,0.0304538421333,0.278655171394,1.20321499253E-06,0.0161077827215,0.0955758839846,433200.96875,0.143289402127,0.00075106380973,1.14737150336E-10,0.0153491003439,0.000188244433957,0.0261840913445,0.0196370538324,0.000128836880322,0.055910166353,0.0929814949632,0.0140826329589,15614.1904297,19.9931278229,0.0321151725948,0.00722745107487,0.0279079508036,0.0860775187612,532.554199219,0.072768419981,165.312820435,0.0431833304465,410.210998535,0.0809646323323,0.0688778087497,0.0263963546604,6.94150203984E-09,2.63114452362,-0.718686342239,0.531346738338,0.0000025324170565,0.0255542621017,-15.5655136108,0.0753446221352,0.209574490786,0.0108929090202
Artifyber,96AycVAMn4I,2024,323.334747314,508.317810059,0.000267729366897,0.0820338651538,0.00066371250432,0.104762874544,0.0017017199425,232.224029541,0.0210287552327,0.0738467872143,0.0177784282714,0.0960961282253,0.0525339655578,0.480283528566,0.0290306247771,1.99269008636,0.0281689167023,0.0487159006298,0.0854917094111,0.0293109081686,0.101677164435,0.0541061274707,0.0229956563562,0.000959822209552,4.35227285323E-08,1.31892323494,1.17884146889E-09,0.156945288181,0.00014646211639,0.0788560062647,0.2447245121,0.0949720665812,0.00685363030061,128.223022461,0.0225097481161,0.27624425292,0.0563991367817,145652.015625,0.064427562058,5.3480303519E-10,8.52720294375E-09,0.0463256724179,0.0366328842938,2.38108539581,692822.5,0.101511158049,0.0211180187762,0.115057960153,-0.793789207935,1.04251557786E-06,0.0778374150395,0.0175060592592,196.299209595,0.0574217811227,-0.19029712677,3.17535841532E-06,0.063025675714,0.156711265445,2.76673540611E-06,0.0166879091412,0.0770867988467,340322.875,0.143664330244,0.000319419370499,2.28108670841E-10,0.0296960286796,0.00031839183066,0.0156741328537,0.0169315524399,0.000943298276979,0.0864075571299,0.114636868238,0.0243530776352,14034.1416016,147.358795166,0.0404986068606,0.197560638189,0.0335518755019,0.0978576913476,517.162780762,0.0961143746972,196.640869141,0.0560487546027,150.144287109,0.0725104287267,0.0610211901367,0.0223468542099,2.38771336036E-09,5.2071146965,-0.763863444328,0.414812386036,1.11653389467E-06,0.0321701169014,-17.2527618408,0.0756658688188,0.130433082581,0.0252009779215
Artifyber,aa_PjkAMsYg,2024,346.126159668,587.012268066,0.00037881731987,0.144796162844,0.000977768795565,0.150798887014,0.001418199623,343.001342773,0.0390499830246,0.0401819199324,0.0221595019102,0.140745997429,0.0955263227224,0.360441714525,0.0368483066559,1.60911870003,0.061492010951,0.0484360828996,0.0676461532712,0.0492978766561,0.0893437042832,0.112853474915,0.0746830999851,0.000816464773379,8.76869510336E-09,1.66064345837,1.2528986737E-09,0.16806563735,0.000138463263283,0.110780969262,0.0463479235768,0.0972751751542,0.00983531214297,103.334838867,0.0455140806735,0.0328460559249,0.0956910327077,137158.140625,0.063625946641,1.64821378767E-09,1.62304214513E-09,0.0437100678682,0.0356946438551,2.10451245308,1250782.75,0.170798704028,0.0818083286285,0.179328277707,-0.80029976368,2.86826121965E-07,0.0890066698194,0.0693497136235,392.703338623,0.0864960104227,-0.578522562981,5.53606867015E-07,0.0969178900123,0.039407748729,4.28402927355E-07,0.0464277751744,0.103085413575,354833.03125,0.0426141917706,0.000363428291166,3.67777058807E-10,0.053808927536,0.000144169156556,0.0345405861735,0.0189155135304,0.00146775599569,0.112661920488,0.0493405275047,0.0688494071364,22517.6992188,46.2065200806,0.0556273497641,0.134250670671,0.0467271097004,0.0920652672648,431.672149658,0.0487447716296,69.8865432739,0.0968287214637,213.652282715,0.107017099857,0.104961290956,0.0209884736687,1.56195545387E-09,5.09869337082,-0.787008941174,0.248724773526,7.81817902862E-07,0.0412235818803,-16.9558429718,0.0744311586022,0.0431537665427,0.0429798737168
Artifyber,AvRD1KopLOI,2024,343.783691406,591.907592773,0.000334603100782,0.0678362846375,0.00095842697192,0.108884729445,0.00369820022024,351.783325195,0.00954117439687,0.0313959941268,0.0197901595384,0.0430447310209,0.0928206443787,0.751518547535,0.0335884913802,0.851500272751,0.0143055096269,0.0655722245574,0.0555415078998,0.0247858371586,0.116283386946,0.0481603592634,0.0170816965401,0.00185336673167,4.52227721937E-09,1.0379935503,9.8314223429E-10,0.11492562294,0.000384008773835,0.0755737125874,0.0441802591085,0.106829293072,0.00652077794075,130.009170532,0.0121615398675,0.0522336773574,0.0779606252909,176788.25,0.0786829814315,6.85415890711E-10,1.92519533648E-09,0.0506363101304,0.0458112806082,350.240386963,1041682.75,0.0431433059275,0.0119771910831,0.0529094412923,-0.803537130356,2.87741357852E-07,0.0673679336905,0.0146807925776,296.766479492,0.0921204835176,1.13447952271,7.41613803257E-07,0.0396772287786,0.0322740152478,8.19422155018E-07,0.0213096179068,0.0973727032542,510860.8125,0.0656617283821,0.000850019336212,1.8459160589E-10,0.0115578249097,0.000116706039989,0.023823948577,0.0208812337369,0.000902362517081,0.0417596586049,0.041683588177,0.0139533355832,16725.5976562,115.525604248,0.0152280386537,0.107647553086,0.0261038485914,0.0698707252741,438.367218018,0.0618126690388,160.542907715,0.0174008253962,133.139083862,0.0514866746962,0.246752262115,0.0265920478851,1.59773361208E-09,11.8607282639,-0.782041072845,0.740966677666,5.16715147114E-07,0.0281306635588,-12.0672245026,0.0871868282557,0.0277529135346,0.0289985444397
Artifyber,b4_FbH7xCmw,2023,279.962615967,422.335479736,0.000554629426915,0.0248408485204,0.00100941944402,0.032278470695,0.00241445191205,130.367004395,0.00865913927555,0.15200202167,0.0227829720825,0.0548670291901,0.0657674595714,0.741657912731,0.0332971923053,0.096031062305,0.0170718021691,0.0550883598626,0.0452069863677,0.00854852702469,0.0447288267314,0.027842450887,0.0158534608781,0.00108398054726,3.63941161652E-08,0.0109948692843,4.45966041873E-10,0.0692896395922,0.000834317936096,0.127756804228,0.307500779629,0.0388517454267,0.00719330413267,260.300445557,0.0146979689598,0.181669697165,0.0511455275118,164424.453125,0.0651185140014,6.30623053777E-10,2.83646652832E-08,0.0377763211727,0.036712937057,9.05377101898,764184.0625,0.0772555470467,0.0203633848578,0.143752515316,-0.74860060215,2.21992627303E-06,0.0760048776865,0.0169493015856,528.905822754,0.104709625244,0.00989651679993,5.89895262237E-06,0.0358290672302,0.21473839879,9.64152945926E-07,0.00922653730959,0.182413235307,309480.46875,0.0548466406763,0.00184322730638,8.42453398708E-11,0.0170980878174,0.00013640456018,0.0131826028228,0.0168737825006,0.0000103814672912,0.0660016462207,0.152276203036,0.0163199193776,20066.5507812,16.3937835693,0.0450317263603,0.00161997240502,0.00928638968617,0.120206184685,790.416870117,0.120535224676,285.441345215,0.0227557048202,440.621490479,0.105414070189,0.134114056826,0.0244247820228,1.08244186947E-08,1.80856323242,-0.749089121819,0.680249333382,1.01163459476E-06,0.0495674423873,-13.4447870255,0.0612409561872,0.326087772846,0.0114517845213
Artifyber,bV7zjWvz0Js,2024,206.347122192,329.138885498,0.00028213756741,0.116068698466,0.000698927498888,0.121535271406,0.00156814535148,79.2278060913,0.0288033150136,0.0199590679258,0.0188929513097,0.148496761918,0.0210405159742,0.633055269718,0.0309005510062,5.91558122635,0.0274574309587,0.0491080023348,0.0576309151947,0.0418114550412,0.184351071715,0.0454889945686,0.0806850492954,0.000685087463353,2.64777231251E-08,1.95492196083,2.01877958794E-10,0.173273444176,0.00407596072182,0.101077996194,0.027916662395,0.190665528178,0.0150787560269,98.625328064,0.0700361430645,0.0303004160523,0.0984017774463,81007.34375,0.0641900002956,2.36288821842E-10,1.8669554791E-09,0.0567958429456,0.0324230268598,2.71248960495,1351319.125,0.125031083822,0.0175388921052,0.167460814118,-0.826764941216,3.33419393428E-07,0.13399502635,0.0345169492066,313.594085693,0.0192552693188,2.6530277729,5.45100249383E-07,0.0643358007073,0.0077649699524,7.15425221642E-06,0.0205949284136,0.0514086559415,171948.78125,0.0585543215275,0.0101741291583,1.22099788613E-10,0.0150710195303,0.000116339855595,0.0525264069438,0.00982324033976,0.00188407243695,0.14168253541,0.0559130385518,0.080986507237,29214.8535156,1121.80615234,0.0577341802418,0.296180874109,0.0366374887526,0.0952277109027,385.738739014,0.0525885112584,434.40057373,0.0682299956679,135.814804077,0.12535110116,0.0124284205958,0.0189778357744,1.92539473254E-09,9.71463489532,-0.743392109871,0.887031018734,1.35505985099E-07,0.0369552224874,-8.10852527618,0.0970838516951,0.00938283279538,0.130385562778
